,,Year of death registration [note 3],,,,,,,,,,,,,,,,,,,,
"Area code 
","Local Authority District 
",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
E07000090,Havant,11,13,7,12,9,7,7,12,9,7,12,9,18,5,4,11,6,6,6,13,7
E07000091,New Forest,14,8,16,12,12,8,9,16,14,14,14,14,11,17,13,5,7,11,15,10,7
E07000092,Rushmoor,10,3,7,9,9,5,12,7,9,10,10,15,9,6,7,11,13,7,8,4,10
E07000093,Test Valley,12,8,11,6,10,9,15,11,9,10,11,9,11,10,9,8,9,11,8,14,5
E07000094,Winchester,12,7,13,16,8,6,10,12,6,10,9,9,15,12,13,9,5,9,4,4,13
E07000105,Ashford,16,21,7,8,8,11,8,14,14,5,7,7,7,4,9,7,11,3,9,13,7
E07000106,Canterbury,17,14,19,16,20,16,14,14,16,10,10,10,14,9,10,13,14,14,12,12,11
E07000107,Dartford,2,12,9,12,8,7,13,11,11,7,9,5,9,2,7,7,8,9,5,10,8
E07000108,Dover,9,17,13,9,14,10,7,14,6,17,13,9,11,10,14,6,15,17,11,6,18
E07000112,Folkestone and Hythe,8,13,12,11,12,11,13,16,12,8,12,10,9,2,8,8,13,5,17,11,9
E07000109,Gravesham,8,9,12,13,10,7,11,15,11,8,9,8,7,6,12,6,7,12,15,8,13
E07000110,Maidstone,16,18,26,8,9,11,11,16,15,16,9,7,15,11,8,13,14,12,13,15,14
E07000111,Sevenoaks,17,12,7,8,6,9,6,15,11,15,9,7,9,3,9,10,4,12,8,9,5
E07000113,Swale,19,13,10,11,15,15,17,16,19,10,7,11,15,9,10,15,9,17,9,4,6
E07000114,Thanet,14,18,21,18,10,23,22,13,9,14,17,8,13,11,17,11,8,14,14,9,20
E07000115,Tonbridge and Malling,13,16,13,8,8,13,13,7,18,8,10,11,14,7,11,7,8,6,8,6,5
E07000116,Tunbridge Wells,10,11,7,15,8,10,18,14,9,7,7,7,9,14,11,10,14,7,14,14,8
